edge_id,source_id,source_title_ja,target_id,target_title_ja,type_ja,type_en,strength,render_class,importance,importance_ja,importance_note,reason,audit_status,audit_basis,audit_source_url,last_verified,management_notes,audit_confidence,audit_source_kind,relation_scope,directness,continuity_scope,render_relation_map,render_chronology,render_prewatch,evidence_level,proxy_note,relation_kind,prewatch_tier,prewatch_reason,prewatch_basis,prewatch_review_status,prewatch_last_reviewed
what-if-s1-2021 -> what-if-s2-2023,what-if-s1-2021,ホワット・イフ…？ シーズン1,what-if-s2-2023,ホワット・イフ…？ シーズン2,direct anthology continuation,direct anthology continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Season continuation.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
what-if-s2-2023 -> what-if-s3-2024,what-if-s2-2023,ホワット・イフ…？ シーズン2,what-if-s3-2024,ホワット・イフ…？ シーズン3,direct anthology continuation,direct anthology continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Season continuation.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
what-if-s1-2021 -> marvel-zombies-s1-2025,what-if-s1-2021,ホワット・イフ…？ シーズン1,marvel-zombies-s1-2025,マーベル・ゾンビーズ S1,アニメの直接スピンオフ,direct animated spin-off,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Marvel Zombies spins out of the zombie What If...? concept.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,spinoff,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-fantastic-four-first-steps-2025 -> avengers-doomsday-2026-12-18,the-fantastic-four-first-steps-2025,ファンタスティック４：ファースト・ステップ,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,公式に明示された直接接続,explicit direct lead-in,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Kevin Feige explicitly says First Steps directly leads into Doomsday.,web-verified,Kevin Feige explicitly says The Fantastic Four: First Steps directly leads into Avengers: Doomsday.,https://www.marvel.com/articles/movies/fantastic-four-first-steps-avengers-doomsday-kevin-feige?pubDate=20250808,2026-08-26,,high,official-marvel,story,direct,crossover,true,true,true,official-story,,lead_in,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-doomsday-2026-12-18 -> avengers-secret-wars-2027-12-17,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,avengers-secret-wars-2027-12-17,Avengers: Secret Wars （邦題未発表）,発表済みアベンジャーズ・イベント継続,announced Avengers event continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Officially paired Avengers event films.,web-verified,Marvel Japan/Russo material describes Doomsday and Secret Wars as a large two-part Avengers story; Marvel movie listings date both films.,https://marvel.disney.co.jp/avengers-special,2026-08-26,,high,official-marvel-jp,story,direct,same_or_intended,true,true,true,official-slate,,story_link,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
deadpool-2016 -> deadpool-2-2018,deadpool-2016,デッドプール,deadpool-2-2018,デッドプール2,直接の続編,direct sequel,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same Fox Deadpool continuity.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
deadpool-2-2018 -> deadpool-wolverine-2024,deadpool-2-2018,デッドプール2,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,同一キャラクターの直接継続,direct character continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Wade's film series continues.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,story_link,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
logan-2017 -> deadpool-wolverine-2024,logan-2017,LOGAN／ローガン,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,旧シリーズのキャラクター／物語接続,legacy character/plot bridge,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Wolverine/X-23 legacy is central to the film.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,true,legacy-structured,,lead_in,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
deadpool-wolverine-2024 -> avengers-doomsday-2026-12-18,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,マルチバース／X-MEN接続,multiverse/X-Men bridge,medium,dotted,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Feige says D&W scratched the surface of revisiting X-Men and Doomsday goes deeper; do not label as direct sequel.,web-verified,"Feige says Deadpool & Wolverine only scratched the surface of revisiting the old X-Men characters and Doomsday delves further; this is a recommended multiverse/X-Men bridge, not a direct sequel.",https://www.marvel.com/articles/movies/fantastic-four-first-steps-avengers-doomsday-kevin-feige?pubDate=20250808,2026-08-26,,high,official-marvel,crossover,direct,multiverse,true,false,true,web/primary,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-2002 -> spider-man-2-2004,spider-man-2002,スパイダーマン,spider-man-2-2004,スパイダーマン2,直接の続編,direct sequel,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Raimi trilogy.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-2-2004 -> spider-man-3-2007,spider-man-2-2004,スパイダーマン2,spider-man-3-2007,スパイダーマン3,直接の続編,direct sequel,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Raimi trilogy.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-amazing-spider-man-2012 -> the-amazing-spider-man-2-2014,the-amazing-spider-man-2012,アメイジング・スパイダーマン,the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,直接の続編,direct sequel,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Webb duology.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-3-2007 -> spider-man-no-way-home-2021,spider-man-3-2007,スパイダーマン3,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,マルチバース・クロスオーバー,multiverse crossover,very strong,dotted,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Tobey Maguire's Spider-Man returns.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,multiverse,true,true,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-amazing-spider-man-2-2014 -> spider-man-no-way-home-2021,the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,マルチバース・クロスオーバー,multiverse crossover,very strong,dotted,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Andrew Garfield's Spider-Man returns.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,multiverse,true,true,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
venom-let-there-be-carnage-2021 -> spider-man-no-way-home-2021,venom-let-there-be-carnage-2021,ヴェノム：レット・ゼア・ビー・カーネイジ,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,ポストクレジットのマルチバース接続,post-credit multiverse bridge,medium,dotted,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Venom/Eddie crosses into MCU space around No Way Home; show as a dotted multiverse edge.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,multiverse,true,false,false,legacy-structured,,crossover,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
daredevil-s3-2018 -> spider-man-no-way-home-2021,daredevil-s3-2018,デアデビル S3,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,キャラクター継続,character continuation,strong,solid,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Charlie Cox's Matt Murdock appears.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,false,legacy-structured,,character_continuity,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
daredevil-s3-2018 -> daredevil-born-again-s1-2025,daredevil-s3-2018,デアデビル S3,daredevil-born-again-s1-2025,デアデビル：ボーン・アゲイン S1,旧シリーズからの継続,legacy continuation,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Matt/Fisk/Karen/Foggy continuity carried forward.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
jessica-jones-s3-2019 -> daredevil-born-again-s2-2026,jessica-jones-s3-2019,ジェシカ・ジョーンズ S3,daredevil-born-again-s2-2026,デアデビル：ボーン・アゲイン S2,旧シリーズのキャラクター再登場,legacy character return,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Jessica Jones returns in the current street-level branch.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
daredevil-s2-2016 -> the-defenders-2017,daredevil-s2-2016,デアデビル S2,the-defenders-2017,マーベル／ザ・ディフェンダーズ,複数枝の合流,ensemble convergence,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Four Netflix hero branches converge in The Defenders.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,same_or_intended,true,true,true,legacy-structured,,crossover,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
jessica-jones-s1-2015 -> the-defenders-2017,jessica-jones-s1-2015,ジェシカ・ジョーンズ S1,the-defenders-2017,マーベル／ザ・ディフェンダーズ,複数枝の合流,ensemble convergence,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Four Netflix hero branches converge in The Defenders.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,same_or_intended,true,true,true,legacy-structured,,crossover,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
luke-cage-s1-2016 -> the-defenders-2017,luke-cage-s1-2016,ルーク・ケイジ S1,the-defenders-2017,マーベル／ザ・ディフェンダーズ,複数枝の合流,ensemble convergence,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Four Netflix hero branches converge in The Defenders.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,same_or_intended,true,true,true,legacy-structured,,crossover,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
iron-fist-s1-2017 -> the-defenders-2017,iron-fist-s1-2017,アイアン・フィスト S1,the-defenders-2017,マーベル／ザ・ディフェンダーズ,複数枝の合流,ensemble convergence,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Four Netflix hero branches converge in The Defenders.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,same_or_intended,true,true,true,legacy-structured,,crossover,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-defenders-2017 -> daredevil-s3-2018,the-defenders-2017,マーベル／ザ・ディフェンダーズ,daredevil-s3-2018,デアデビル S3,直接的な後日談,direct aftermath,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Daredevil's post-Defenders story.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,aftermath,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
daredevil-s2-2016 -> the-punisher-s1-2017,daredevil-s2-2016,デアデビル S2,the-punisher-s1-2017,パニッシャー S1,キャラクターのスピンオフ,character spin-off,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Frank Castle introduced in Daredevil S2.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,spinoff,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
jessica-jones-s1-2015 -> luke-cage-s1-2016,jessica-jones-s1-2015,ジェシカ・ジョーンズ S1,luke-cage-s1-2016,ルーク・ケイジ S1,character continuity,character continuity,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Luke Cage spins out from Jessica Jones connection.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
blade-trinity-2004 -> deadpool-wolverine-2024,blade-trinity-2004,ブレイド3,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,旧映像宇宙からのマルチバース接続,legacy multiverse cameo bridge,strong,dotted,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Wesley Snipes' Blade legacy is explicitly brought into Deadpool & Wolverine.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,multiverse,true,false,false,legacy-structured,,crossover,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
elektra-2005 -> deadpool-wolverine-2024,elektra-2005,エレクトラ,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,旧映像宇宙からのマルチバース接続,legacy multiverse cameo bridge,strong,dotted,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Jennifer Garner's Elektra legacy is explicitly brought into Deadpool & Wolverine.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,multiverse,true,false,false,legacy-structured,,crossover,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
fantastic-four-rise-of-the-silver-surfer-2007 -> deadpool-wolverine-2024,fantastic-four-rise-of-the-silver-surfer-2007,ファンタスティック・フォー：銀河の危機,deadpool-wolverine-2024,デッドプール＆ウルヴァリン,旧映像宇宙からのマルチバース接続,legacy multiverse cameo bridge,strong,dotted,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Chris Evans' Human Torch legacy is explicitly brought into Deadpool & Wolverine.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,multiverse,true,false,false,legacy-structured,,crossover,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
x-men-the-animated-series-19921997 -> x-men-97-s1-2024,x-men-the-animated-series-19921997,X-MEN（アニメシリーズ）,x-men-97-s1-2024,X-MEN '97 S1,アニメ直系の継続,direct animated continuity,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Marvel states X-Men '97 explores new stories in the iconic '90s timeline of the original series.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
x-men-97-s1-2024 -> x-men-97-s2-2026-07-01,x-men-97-s1-2024,X-MEN '97 S1,x-men-97-s2-2026-07-01,X-MEN '97 S2,シーズン継続,direct sequel season,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Season continuation.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
iron-man-3-2013 -> all-hail-the-king-2014,iron-man-3-2013,アイアンマン3,all-hail-the-king-2014,オール・ヘイル・ザ・キング,短編での直接フォロー,direct short-form follow-up,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Trevor Slattery follow-up.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,sequel,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
all-hail-the-king-2014 -> shang-chi-and-the-legend-of-the-ten-rings-2021,all-hail-the-king-2014,オール・ヘイル・ザ・キング,shang-chi-and-the-legend-of-the-ten-rings-2021,シャン・チー／テン・リングスの伝説,character/plot callback,character/plot callback,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Trevor Slattery and Ten Rings/Mandarin thread is revisited.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,story_link,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
shang-chi-and-the-legend-of-the-ten-rings-2021 -> wonder-man-s1-2026,shang-chi-and-the-legend-of-the-ten-rings-2021,シャン・チー／テン・リングスの伝説,wonder-man-s1-2026,ワンダーマン S1,キャラクター継続,character continuation,medium,dashed,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Trevor Slattery continues into Wonder Man; Marvel published an official Trevor Slattery MCU watch guide.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-avengers-2012 -> item-47-2012,the-avengers-2012,アベンジャーズ,item-47-2012,アイテム47,直後を描く短編,direct aftermath short,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Post-Avengers SHIELD cleanup story.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-the-first-avenger-2011 -> agent-carter-one-shot-2013,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,agent-carter-one-shot-2013,エージェント・カーター（ワンショット）,character continuation short,character continuation short,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Peggy Carter continuation.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,story_link,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
iron-man-2-2010 -> iron-man-3-2013,iron-man-2-2010,アイアンマン2,iron-man-3-2013,アイアンマン3,直接の続編,direct sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Iron Man trilogy direct franchise line.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-the-first-avenger-2011 -> captain-america-the-winter-soldier-2014,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,シリーズ直系の続編,direct franchise sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Captain America film line.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-the-winter-soldier-2014 -> captain-america-civil-war-2016,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,シリーズ直系の続編,direct franchise sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Captain America film line.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
thor-the-dark-world-2013 -> thor-ragnarok-2017,thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,thor-ragnarok-2017,マイティ・ソー バトルロイヤル,シリーズ直系の続編,direct franchise sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Thor film line.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
