work_relation_id,source_work_id,target_work_id,relation_kind,relation_scope,directness,continuity_scope,certainty,verification_status,notes
work-relation-captain-america-civil-war-2016-wandavision-2021-world-lore,captain-america-civil-war-2016,wandavision-2021,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,『シビル・ウォー』で二人の関係とソコヴィア協定下の状況が発展。
work-relation-avengers-endgame-2019-the-falcon-and-the-winter-soldier-2021-story-link,avengers-endgame-2019,the-falcon-and-the-winter-soldier-2021,story_link,story,direct,same_or_intended,probable,legacy_seed,サムが盾を託された『エンドゲーム』を直接受けるシリーズ。
work-relation-avengers-endgame-2019-loki-s1-2021-story-link,avengers-endgame-2019,loki-s1-2021,story_link,story,direct,same_or_intended,probable,legacy_seed,『エンドゲーム』の2012年タイム強奪でロキがテッセラクトを奪った分岐から始まる。
work-relation-avengers-endgame-2019-hawkeye-2021-aftermath,avengers-endgame-2019,hawkeye-2021,aftermath,story,indirect,same_or_intended,probable,legacy_seed,ローニン期とナターシャ喪失を抱えるクリントの後日談。
work-relation-avengers-endgame-2019-eternals-2021-story-link,avengers-endgame-2019,eternals-2021,story_link,story,indirect,same_or_intended,probable,legacy_seed,ブリップからの人口回復がエマージェンス進行の前提として語られる。
work-relation-the-incredible-hulk-2008-captain-america-brave-new-world-2025-story-link,the-incredible-hulk-2008,captain-america-brave-new-world-2025,story_link,story,direct,same_or_intended,probable,legacy_seed,サディアス・ロスとサミュエル・スターンズ／リーダーを長期的に回収。
work-relation-guardians-of-the-galaxy-vol-2-2017-i-am-groot-s1-2022-story-link,guardians-of-the-galaxy-vol-2-2017,i-am-groot-s1-2022,story_link,story,indirect,same_or_intended,probable,legacy_seed,ベビー・グルート期の短編群。
work-relation-captain-marvel-2019-secret-invasion-2023-world-lore,captain-marvel-2019,secret-invasion-2023,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,フューリー、タロス、スクラル問題を『キャプテン・マーベル』から引き継ぐ。
work-relation-secret-invasion-2023-the-marvels-2023-world-lore,secret-invasion-2023,the-marvels-2023,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,フューリーとスクラルを扱う直近シリーズとして隣接。ただし直接続編とは扱わない。
work-relation-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-story-link,she-hulk-attorney-at-law-2022,daredevil-born-again-s1-2025,story_link,story,indirect,same_or_intended,probable,legacy_seed,マット／デアデビルの現行MCU客演から『ボーン・アゲイン』へ。
work-relation-the-defenders-2017-jessica-jones-s2-2018-story-link,the-defenders-2017,jessica-jones-s2-2018,story_link,story,strong,same_or_intended,probable,legacy_seed,合流イベント後、ジェシカの個別シリーズへ戻る。
work-relation-the-defenders-2017-luke-cage-s2-2018-story-link,the-defenders-2017,luke-cage-s2-2018,story_link,story,strong,same_or_intended,probable,legacy_seed,合流イベント後、ルークの個別シリーズへ戻る。
work-relation-the-defenders-2017-iron-fist-s2-2018-story-link,the-defenders-2017,iron-fist-s2-2018,story_link,story,strong,same_or_intended,probable,legacy_seed,合流イベント後、ダニーの個別シリーズへ戻る。
work-relation-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-story-link,agent-carter-one-shot-2013,marvel-s-agent-carter-series-20152016,story_link,story,strong,same_or_intended,probable,legacy_seed,ペギー・カーターを中心とするワンショットからドラマシリーズへの同人物枝。
work-relation-the-avengers-2012-agents-of-s-h-i-e-l-d-20132020-world-lore,the-avengers-2012,agents-of-s-h-i-e-l-d-20132020,world_lore,world_lore,indirect,uncertain_legacy_tv,probable,legacy_seed,『アベンジャーズ』後のコールソンとS.H.I.E.L.D.を起点とするTV枝。
work-relation-thor-the-dark-world-2013-agents-of-s-h-i-e-l-d-20132020-story-link,thor-the-dark-world-2013,agents-of-s-h-i-e-l-d-20132020,story_link,story,indirect,uncertain_legacy_tv,probable,legacy_seed,映画事件を受けたエピソード連動。
work-relation-captain-america-the-winter-soldier-2014-agents-of-s-h-i-e-l-d-20132020-world-lore,captain-america-the-winter-soldier-2014,agents-of-s-h-i-e-l-d-20132020,world_lore,world_lore,direct,uncertain_legacy_tv,probable,legacy_seed,HYDRA暴露とS.H.I.E.L.D.崩壊がTVシリーズへ直接波及。
work-relation-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-world-lore,avengers-age-of-ultron-2015,agents-of-s-h-i-e-l-d-20132020,world_lore,world_lore,indirect,uncertain_legacy_tv,probable,legacy_seed,Theta Protocol等で映画イベントとTV側が補助的に接続。現行MCU正史断定とは分離。
work-relation-cloak-dagger-20182019-runaways-20172019-crossover,cloak-dagger-20182019,runaways-20172019,crossover,crossover,direct,uncertain_legacy_tv,probable,legacy_seed,クローク＆ダガーが『ランナウェイズ』シーズン3に直接登場する公式クロスオーバー。
work-relation-venom-2018-venom-let-there-be-carnage-2021-sequel,venom-2018,venom-let-there-be-carnage-2021,sequel,story,direct,same_or_intended,probable,legacy_seed,ソニー公式が『ヴェノム』の続編として位置づける。
work-relation-venom-let-there-be-carnage-2021-venom-the-last-dance-2024-story-link,venom-let-there-be-carnage-2021,venom-the-last-dance-2024,story_link,story,direct,same_or_intended,probable,legacy_seed,ヴェノム映画シリーズ第3作・三部作の完結編。
work-relation-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-sequel,spider-man-into-the-spider-verse-2018,spider-man-across-the-spider-verse-2023,sequel,story,direct,same_or_intended,probable,source_verified,『スパイダーバース』の次章／続編。
work-relation-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-sequel,spider-man-across-the-spider-verse-2023,spider-man-beyond-the-spider-verse-tba,sequel,story,strong,same_or_intended,confirmed,source_verified,三部作の次作として発表済み。
work-relation-x-men-the-last-stand-2006-the-wolverine-2013-aftermath,x-men-the-last-stand-2006,the-wolverine-2013,aftermath,story,direct,same_or_intended,probable,legacy_seed,ジーンの死を引きずるローガンを描き、旧X-MEN三部作の後日談として接続。
work-relation-the-wolverine-2013-x-men-days-of-future-past-2014-lead-in,the-wolverine-2013,x-men-days-of-future-past-2014,lead_in,story,direct,same_or_intended,probable,legacy_seed,マグニートー／プロフェッサーXの登場で『フューチャー＆パスト』へ橋渡し。
work-relation-x-men-the-last-stand-2006-x-men-days-of-future-past-2014-story-link,x-men-the-last-stand-2006,x-men-days-of-future-past-2014,story_link,story,indirect,same_or_intended,probable,legacy_seed,『フューチャー＆パスト』未来側は旧三部作の人物・状況を引き継ぐ。
work-relation-avengers-age-of-ultron-2015-visionquest-2026-10-14-story-link,avengers-age-of-ultron-2015,visionquest-2026-10-14,story_link,story,indirect,same_or_intended,confirmed,legacy_seed,ジェームズ・スペイダーのウルトロン復帰とヴィジョンの起点を回収。
work-relation-avengers-endgame-2019-avengers-doomsday-2026-12-18-story-link,avengers-endgame-2019,avengers-doomsday-2026-12-18,story_link,story,indirect,same_or_intended,probable,legacy_seed,日本公式がDoomsday公開前にEndgame: Encoreを再上映。直接前日譚とは扱わない。
work-relation-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-promotion,ant-man-and-the-wasp-quantumania-2023,avengers-doomsday-2026-12-18,promotion,promotion,promotional,promotional,confirmed,legacy_seed,日本公式のDoomsday公開記念関連13作品に含まれる。直接前日譚・出演確認の根拠とは分離。 | 公式関連13作品。直接物語接続とは別。 | direct sequelではなく公式プロモーション上の関連・予習候補。
work-relation-captain-america-brave-new-world-2025-avengers-doomsday-2026-12-18-promotion,captain-america-brave-new-world-2025,avengers-doomsday-2026-12-18,promotion,promotion,promotional,promotional,confirmed,legacy_seed,日本公式のDoomsday公開記念関連13作品に含まれる。直接前日譚・出演確認の根拠とは分離。 | 公式関連13作品。直接物語接続とは別。 | direct sequelではなく公式プロモーション上の関連・予習候補。
work-relation-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-promotion,shang-chi-and-the-legend-of-the-ten-rings-2021,avengers-doomsday-2026-12-18,promotion,promotion,promotional,promotional,confirmed,legacy_seed,日本公式のDoomsday公開記念関連13作品に含まれる。直接前日譚・出演確認の根拠とは分離。 | 公式関連13作品。直接物語接続とは別。 | direct sequelではなく公式プロモーション上の関連・予習候補。
work-relation-thunderbolts-new-avengers-2025-avengers-doomsday-2026-12-18-lead-in,thunderbolts-new-avengers-2025,avengers-doomsday-2026-12-18,lead_in,story,strong,same_or_intended,confirmed,source_verified,日本公式がサンダーボルツ*をDoomsdayにつながる見逃せない一作と明示。
work-relation-the-marvels-2023-avengers-doomsday-2026-12-18-story-link,the-marvels-2023,avengers-doomsday-2026-12-18,story_link,story,indirect,uncertain_return_continuity,probable,legacy_seed,"The Marvels establishes Monica crossing into a new dimension containing Binary and Beast. That is a real multiverse event, but current evidence does not establish that this exact universe or Beast variant is the one represented by Doomsday's returning X-Men cast."
work-relation-thor-2011-thor-the-dark-world-2013-sequel,thor-2011,thor-the-dark-world-2013,sequel,story,direct,same_or_intended,confirmed,source_verified,『マイティ・ソー』から同じThor/Loki/Asgard枝を引き継ぐ直接続編。『アベンジャーズ』を挟むが、ソー単独シリーズの直系接続として表示。
work-relation-the-avengers-2012-iron-man-3-2013-aftermath,the-avengers-2012,iron-man-3-2013,aftermath,story,indirect,same_or_intended,probable,legacy_seed,『アイアンマン3』のTony Starkは『アベンジャーズ』ニューヨーク決戦の体験を引きずっており、Phase 1イベントの明確な後日談として機能する。
work-relation-iron-man-3-2013-avengers-age-of-ultron-2015-story-link,iron-man-3-2013,avengers-age-of-ultron-2015,story_link,story,indirect,same_or_intended,probable,legacy_seed,Tony Stark/Iron Manが単独作からAvengersの中心人物として継続。直接続編ではないためmediumで表示。
work-relation-spider-man-far-from-home-2019-secret-invasion-2023-world-lore,spider-man-far-from-home-2019,secret-invasion-2023,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,『ファー・フロム・ホーム』でSoren/TalosとFuryの宇宙側状況が示され、『シークレット・インベージョン』でFury/Talos/Skrull問題が主軸になる。直接続編とは断定しない。
work-relation-guardians-of-the-galaxy-2014-captain-marvel-2019-lead-in,guardians-of-the-galaxy-2014,captain-marvel-2019,lead_in,world_lore,indirect,same_or_intended,probable,legacy_seed,RonanとKorath、Kree勢力が両作品を横断。『キャプテン・マーベル』は年代上は過去だが、公開順ベースの背景理解線として表示。
work-relation-spider-man-no-way-home-2021-morbius-2022-crossover,spider-man-no-way-home-2021,morbius-2022,crossover,crossover,direct,multiverse,confirmed,source_verified,Morbius shows the same MCU Adrian Toomes/Vulture materializing in the Venom/Morbius universe. Director Daniel Espinosa explicitly attributes Vulture's transfer to the events of No Way Home.
work-relation-inhumans-2017-doctor-strange-in-the-multiverse-of-madness-2022-variant-callback,inhumans-2017,doctor-strange-in-the-multiverse-of-madness-2022,variant_callback,variant_meta,proxy,variant,confirmed,source_verified,"Anson Mount played Black Bolt in Marvel's Inhumans and returns as Black Bolt among the Earth-838 Illuminati in Multiverse of Madness. This is explicitly treated as a multiversal variant callback, not identity continuity with the Inhumans-series individual."
work-relation-captain-america-civil-war-2016-agents-of-s-h-i-e-l-d-20132020-world-lore,captain-america-civil-war-2016,agents-of-s-h-i-e-l-d-20132020,world_lore,world_lore,indirect,uncertain_legacy_tv,probable,legacy_seed,Marvel公式のAoS Season 3 recapが、Sokovia Accords発効後にCoulson/TalbotがInhumansへの影響を議論したと明記。映画イベントのTV側反映。
work-relation-logan-2017-deadpool-wolverine-2024-story-link,logan-2017,deadpool-wolverine-2024,story_link,story,direct,same_or_intended,confirmed,source_verified,"Deadpool & Wolverine opens at the Logan grave/tree and makes Logan's death an explicit premise affecting Wade's homeworld. The Wolverine co-lead is a different-universe variant, so this relation does not identify him with the Logan-2017 individual."
